Chunk_table $fffF0000
Ring_start_addr_ROM $fffFEE42
Ring_end_addr_ROM $fffFEE46
Ring_start_addr_RAM $fffFEE4A
Current_Zone_Secondary $FFFFEE4E
Current_Act_Secondary $FFFFEE4F
PalCycle_Delay $FFFFEE50
Transition_Routine $FFFFEE52
Transition_Revert_Flag $FFFFEE54
Lvl_No_TitleCard $FFFFEE5E
Camera_X_P2 $FFFFEE60
Camera_Y_P2 $FFFFEE64
Camera_X_P2_Copy $FFFFEE68
Camera_Y_P2_Copy $FFFFEE6C
Camera_BG_X_P2 $FFFFEE70
Camera_BG_Y_P2 $FFFFEE74
Camera_X $FFFFEE78
Camera_Y $FFFFEE7C
Camera_X_Copy $FFFFEE80
Camera_Y_Copy $FFFFEE84
Camera_X_Rounded $FFFFEE88
Camera_Y_Rounded $FFFFEE8A
Camera_BG_X $FFFFEE8C
Camera_BG_Y $FFFFEE90
Camera_BG_X_Rounded $FFFFEE94
Camera_BG_Y_Rounded $FFFFEE96
Camera_BG2_X $FFFFEE98
Camera_BG2_X2 $FFFFEE9A
Camera_BG2_Y $FFFFEE9C
Camera_BG2_X_Rounded $FFFFEEA0
Camera_BG2_Y_Rounded $FFFFEEA2
Plane_double_update $fffFEEA4
Special_VInt_FX_Routine $FFFFEEA6
Screen_X_wrap_value $fffFEEA8
Screen_Y_wrap_value $fffFEEAA
Camera_Y_pos_mask $fffFEEAC
Layout_row_index_mask $fffFEEAE
Plane_Buffer_Pos_OnScr $FFFFEEB0
Lvl_AutoScroll_Routine $FFFFEEB2
Camera_X_Before_Transition $FFFFEEB4
ScrollLimitBuffer $FFFFEEB4
Camera_X_Before_Transition2 $FFFFEEB6
AutoScroll_X_SubValue $FFFFEEBC
Dynamics_Routine $FFFFEEC0
Triggers_Routine $FFFFEEC2
Update_Lvl_FG_Flag $FFFFEEC4
Level_Property $FFFFEEC6
LevelUpdate_Pos $FFFFEEC8
LevelUpdate_Counter $FFFFEECA
ScreenShake_Flag $FFFFEECC
ScreenShake_Value $FFFFEECE
ScreenShake_Value_prev $FFFFEED0
Sprite_Draw_Flag $FFFFEF3A
Use_normal_sprite_table $fffFEF3C
Sprite_Table_Flag_2P $FFFFEF3E
VInt_Interrupt_Addr $FFFFEF44
Multiplayer_Player2Flag $FFFFEF49
Demo_Button_Press $FFFFEF50
Current_Demo_Data $FFFFEF52
SRAM_WriteFlag $FFFFEF56
Object_index_addr $fffFEF5A
ObjMgr_Camera_X_Left $FFFFEF64
ScreenShakeBG_Value $FFFFEF66
Unk_HPZ_EmeraldFlag $FFFFEF6C
Pause_Ignore $FFFFEF72
Secondary_Plane_Buffer $FFFFEF74
Demo_Press_Counter $FFFFEF78
Player2_Demo_Button_Press $FFFFEF79
Ring_consumption_count $fffFEF80
Ring_consumption_list $fffFEF82
Water_Pal_FadeTo $FFFFF000
Water_Pal_FadeTo_Line2 $FFFFF020
Water_Pal_FadeTo_Line3 $FFFFF040
Water_Pal_FadeTo_Line4 $FFFFF060
Water_Pal $FFFFF080
Water_Pal_Line2 $FFFFF0A0
Water_Pal_Line3 $FFFFF0C0
Water_Pal_Line4 $FFFFF0E0
Plane_buffer $fffFF100
VRAM_Buffer $FFFFF580
GameMode $FFFFF600
Ctrl_1_Held_Logical $FFFFF602
Ctrl_1_Press_Logical $FFFFF603
Ctrl_1_Held $FFFFF604
Ctrl_1_Press $FFFFF605
Ctrl_2_Held $FFFFF606
Ctrl_2_Press $FFFFF607
VDP_Reg1_Val $FFFFF60E
Demo_Time $FFFFF614
VScroll_Factor_FG $FFFFF616
VScroll_Factor_BG $FFFFF618
HScroll_Factor_FG $FFFFF61A
HScroll_Factor_BG $FFFFF61C
Camera_Y_Pos_P2_Relative $FFFFF61E
Camera_BG_Y_Pos_Relative $FFFFF620
Stop_Referenced_Objs $FFFFF623
Hint_Counter_Reserve $FFFFF624
Palette_Fade_Range $FFFFF626
Palette_Fade_Length $FFFFF627
Level_Lag_Frames $FFFFF628
VInt_Routine $FFFFF62A
Sprite_Count $FFFFF62C
HInt_Water_Data $FFFFF62E
PalCycle_Frame $FFFFF632
PalCycle_Timer $FFFFF634
RNG_Seed $FFFFF636
Paused_Flag $FFFFF63A
DMA_Data_Thunk $FFFFF640
HInt_Flag $FFFFF644
Water_Height_Default $FFFFF646
Current_Water_Height $FFFFF648
Target_Water_Height $FFFFF64A
Water_Speed $FFFFF64C
Water_Routine $FFFFF64D
Water_Fullscrn_Flag $FFFFF64E
PalCycle_Flag $FFFFF650
PalCycle_Frame2 $FFFFF652
PalCycle_Frame3 $FFFFF654
PalCycle_Frame4 $FFFFF656
PalCycle_Timer2 $FFFFF658
PalCycle_Timer3 $FFFFF65A
Super_PalCycle_Frame $FFFFF65C
Super_PalCycle_Timer $FFFFF65E
Super_PalCycle_Flag $FFFFF65F
BG_Layer_Scroll_Timer $FFFFF660
BG_Layer_Scroll_Timer2 $FFFFF662
Flash_Timer $FFFFF666
Super_Tails_Flag $FFFFF667
SuperTails_PalCycle_Frame $FFFFF668
SuperTails_PalCycle_Timer $FFFFF669
Ctrl_2_Held_Logical $FFFFF66A
Ctrl_2_Press_Logical $FFFFF66B
Super_RingDrain_Counter $FFFFF66C
Super_SecondCounter $FFFFF670
Scroll_Force_Pos $FFFFF676
Scroll_Force_X_Pos $FFFFF678
Scroll_Force_Y_Pos $FFFFF67C
PLC_Buffer $FFFFF680
PLC_Buffer_Slot1_VRAM $FFFFF684
Art_Decomp_Routine $FFFFF6E0
Art_Decomp_Variable1 $FFFFF6E4
Art_Decomp_Variable2 $FFFFF6E8
Art_Decomp_Variable3 $FFFFF6EC
Art_Decomp_Variable4 $FFFFF6F0
Art_Decomp_Variable5 $FFFFF6F4
Total_Tiles_Left $FFFFF6F8
Current_Tiles_Left $FFFFF6FA
Player2_CPU_Flag $FFFFF700
Player2_CPU_Control_Counter $FFFFF702
Player2_CPU_Respawn $FFFFF704
Player2_CPU_Routine $FFFFF708
Player2_CPU_Target_XPos $FFFFF70A
Player2_CPU_Target_YPos $FFFFF70C
Player2_CPU_Last_Obj_interact $FFFFF70E
Player2_CPU_UnkFlag $FFFFF70F
Rings_Manager_Routine $FFFFF710
Level_Start_Flag $FFFFF711
Current_Respawn_Index $FFFFF712
Water_Flag $FFFFF730
Player2_CPU_UnkArray $FFFFF73E
Tails_PreviousFlying_X_Speed $FFFFF744
Player2_CPU_StarpoleFlag $FFFFF746
Cheat_Button_Press1 $FFFFF748
Cheat_Button_Press2 $FFFFF749
Player1_RestartFlag_2P $FFFFF74A
Player2_RestartFlag_2P $FFFFF74B
Tails_PreviousFlying_Y_Speed $FFFFF74C
Knuckles_GlideStateFlag $FFFFF74E
Knuckles_GlideStateFlag2 $FFFFF74F
Player1_TopSpeed $FFFFF760
Player1_Acceleration $FFFFF762
Player1_Deceleration $FFFFF764
Player1_Current_Frame $FFFFF766
Player_NextTilt $FFFFF768
Player_CurrentTilt $FFFFF76A
PlaneBuffer $FFFFF100
Boss_Top_Y_Bound $FFFFFAB0
Boss_Bottom_Y_Bound $FFFFFAB2
Boss_Left_X_Bound $FFFFFAB4
Boss_Right_X_Bound $FFFFFAB6
Objects_Manager_Routine $FFFFF76C
ObjMgr_Camera_X_Last $FFFFF76E
ObjMgr_Camera_X_Right $FFFFF770
Next_ObjLoad_Address $FFFFF772
Previous_ObjLoad_Address $FFFFF776
Next_Respawn_Address $FFFFF77A
Previous_Respawn_Address $FFFFF77C
Demo_Fade_Counter $FFFFF794
Current_Collision $FFFFF796
Boss_Active_Flag $FFFFF7AA
Player1_Rotation_Angle $FFFFF7B0
Player2_Rotation_Angle $FFFFF7B1
Primary_Collision $FFFFF7B4
Secondary_Collision $FFFFF7B8
ReverseGravity_Flag $FFFFF7C6
Player1_OnWater_Flag $FFFFF7C8
Player2_OnWater_Flag $FFFFF7C9
Control_Locked $FFFFF7CA
Control_Locked_P2 $FFFFF7CB
MidAir_Bonus_Counter $FFFFF7D0
Time_Bonus_Counter $FFFFF7D2
Ring_Bonus_Counter $FFFFF7D4
CameraScroll_Counter $FFFFF7DA
Player2_CameraScroll_Counter $FFFFF7DC
Player2_Current_Frame $FFFFF7DE
TailsTails_Current_Frame $FFFFF7DF
Button_Press_Array $FFFFF7E0
Level_Anim $FFFFF7F0
Sprite_Attribute_Table $FFFFF800
BossSpecific_Ram $FFFFFA80
Ending_VInt_Trigger $FFFFFA88
Previous_Max_X_Pos $FFFFFA92
Previous_Min_X_Pos $FFFFFA94
Previous_Min_Y_Pos $FFFFFA96
Previous_Max_Y_Pos $FFFFFA98
Boss_Secondary_Status $FFFFFAA2
Signpost_Bonus_Pointer $FFFFFAA6
Unk_FAAC $FFFFFAAC
Boss_Anim_Status $FFFFFAB8
CyclePalette_Flag $FFFFFABF
Pal_FadeIn_Delay $FFFFFACE
CyclePalette_Array $FFFFFADE
VDP_Command_Buffer $FFFFFB00
VDP_Command_Buffer_Slot $FFFFFBFC
Main_Palette $FFFFFC00
Main_Palette_Line2 $FFFFFC20
Main_Palette_Line3 $FFFFFC40
Main_Palette_Line4 $FFFFFC60
Main_Palette_FadeTo $FFFFFC80
Main_Palette_FadeTo_Line2 $FFFFFCA0
Main_Palette_FadeTo_Line3 $FFFFFCC0
Main_Palette_FadeTo_Line4 $FFFFFCE0
System_Stack $FFFFFE00
Level_Restart_Flag $FFFFFE02
Level_Frame_Timer $FFFFFE04
Current_Debug_Obj $FFFFFE06
Debug_Routine $FFFFFE08
Debug_Placement_Flag $FFFFFE09
VInt_RunCount $FFFFFE0C
Current_Zone $FFFFFE10
Current_Act $FFFFFE11
Life_Count $FFFFFE12
Current_SpecialStage $FFFFFE16
Continue_Count $FFFFFE18
Super_Flag $FFFFFE19
Time_Over_Flag $FFFFFE1A
Get_Extra_Life_Flag $FFFFFE1B
Update_HUD_Lives $FFFFFE1C
Update_HUD_Rings $FFFFFE1D
Update_HUD_Timer $FFFFFE1E
Update_HUD_Score $FFFFFE1F
Ring_Count $FFFFFE20
Timer $FFFFFE22
Timer_Minute $FFFFFE23
Timer_Second $FFFFFE24
Timer_Frame $FFFFFE25
Score $FFFFFE26
Last_Starpole_Hit $FFFFFE2A
Saved_Last_Starpole_Hit $FFFFFE2B
Saved_Zone $FFFFFE2C
Saved_Starpole_X_Pos $FFFFFE2E
Saved_Starpole_Y_Pos $FFFFFE30
Saved_Ring_Count $FFFFFE32
Saved_Timer $FFFFFE34
Saved_Player_VRAM $FFFFFE38
Saved_Player_Layer $FFFFFE3A
Saved_Camera_X_Pos $FFFFFE3C
Saved_Camera_Y_Pos $FFFFFE3E
Saved_Current_Water_Height $FFFFFE40
Saved_Water_Fullscreen_Flag $FFFFFE42
Saved_Get_Extra_Life_Flag $FFFFFE43
Saved_Current_Max_Y_Pos $FFFFFE44
Saved_Dynamic_Resize_Routine $FFFFFE46
Saved_Powerup $FFFFFE47
BigRing_Flag $FFFFFE48
Saved_Last_Starpole_Hit_BigRing $FFFFFE49
Saved_Zone_BigRing $FFFFFE4A
Saved_X_Pos_BigRing $FFFFFE4C
Saved_Y_Pos_BigRing $FFFFFE4E
Saved_Ring_Count_BigRing $FFFFFE50
Saved_Timer_BigRing $FFFFFE52
Saved_Player_VRAM_BigRing $FFFFFE56
Saved_Player_Layer_BigRing $FFFFFE58
Saved_Camera_X_Pos_BigRing $FFFFFE5A
Saved_Camera_Y_Pos_BigRing $FFFFFE5C
Saved_Current_Water_Height_BigRing $FFFFFE5E
Saved_Water_Fullscreen_Flag_BigRing $FFFFFE60
Saved_Get_Extra_Life_Flag_BigRing $FFFFFE61
Saved_Current_Max_Y_Pos_BigRing $FFFFFE62
Saved_Dynamic_Resize_Routine_BigRing $FFFFFE64
Osc_Num $FFFFFE6E
Ring_Anim_Counter $FFFFFEB2
Ring_Anim_Frame $FFFFFEB3
SpillRing_Anim_Counter $FFFFFEB6
SpillRing_Anim_Frame $FFFFFEB7
SpillRing_Anim_Accum $FFFFFEB8
AIZ_VineSwing_Angle $FFFFFEBA
Player2_Update_HUD_Rings $FFFFFEBE
Player2_Get_Extra_Life_Flag $FFFFFEBF
Player2_TopSpeed $FFFFFEC0
Player2_Acceleration $FFFFFEC2
Player2_Deceleration $FFFFFEC4
Player2_Life_Count $FFFFFEC6
Player2_Update_HUD_Timer $FFFFFEC7
Total_Rings_Collected $FFFFFEC8
Player2_Total_Rings_Collected $FFFFFECA
Monitors_Broken $FFFFFECC
Player2_Monitors_Broken $FFFFFECE
Player2_Ring_Count $FFFFFED0
Player2_Timer $FFFFFED2
Player2_Score $FFFFFED6
Unk_S2_2PResultsScreen $FFFFFF02
Rings_To_Collect $FFFFFF04
Unk_Rings_Ram $FFFFFF06
Player_Mode $FFFFFF08
Player_Mode_OnMenu $FFFFFF0A
Kos_Data_Pieces $FFFFFF0E
Kos_Queue_Backup $FFFFFF10
Kos_Queue_Status_Backup $FFFFFF38
Kos_Queue_PC_Backup $FFFFFF3A
Kos_Queue_Stack $FFFFFF3E
Kos_Decomp_Queue $FFFFFF40
Kos_Destination_RAM $FFFFFF44
Kos_Decomp_Queue_Slot2 $FFFFFF48
Kos_Module_Count $FFFFFF60
Kos_Last_Module_Size $FFFFFF62
Kos_Module_Decomp_Queue $FFFFFF64
Kos_Module_Destination_VRAM $FFFFFF68
Kos_Module_Decomp_Queue_Slot2 $FFFFFF6A
LvlSel_Delay $FFFFFF80
LevelSelect_Selection $FFFFFF82
SoundTest_Selection $FFFFFF84
TitleMenu_Selection $FFFFFF86
Pause_Reset_Flag $FFFFFF8B
Total_Bonus_Countdown $FFFFFF8E
Current_Song $FFFFFF90
BigRingCollected_Bitfield $FFFFFF92
Saved_Powerup_BigRing $FFFFFF96
Transport_Flag $FFFFFF97
Saved_Current_Zone_Secondary $FFFFFF9A
Saved_Current_Zone_Secondary_BigRing $FFFFFF9C
S3Active_Flag $FFFFFFAE
Chaos_Emerald_Count $FFFFFFB0
Super_Emerald_Count $FFFFFFB1
EmeraldArray_1st $FFFFFFB2
EmeraldArray_2nd $FFFFFFB3
EmeraldArray_3rd $FFFFFFB4
EmeraldArray_4th $FFFFFFB5
EmeraldArray_5th $FFFFFFB6
EmeraldArray_6th $FFFFFFB7
EmeraldArray_7th $FFFFFFB8
Player_SkipSuper_Flag $FFFFFFBA
SpecialStage_SKFlag $FFFFFFBB
Next_Extra_Life_Score $FFFFFFC0
Player2_Next_Extra_Life_Score $FFFFFFC4
Debug_Saved_Mapping $FFFFFFCA
Debug_Saved_VRAM $FFFFFFCE
Demo_Mode_Flag $FFFFFFD0
Demo_Number $FFFFFFD2
BlueSphere_Flag $FFFFFFD4
HInt_Water_Counter $FFFFFFD6
Graphics_Flags $FFFFFFD8
Debug_Mode_Flag $FFFFFFDA
Level_Select_Flag $FFFFFFE0
Slow_Motion_Flag $FFFFFFE1
Debug_Enable_Flag $FFFFFFE2
Unused_Cheat $FFFFFFE4
Unused_Cheat2 $FFFFFFE6
Multiplayer_Flag $FFFFFFE8
Multiplayer_Player1_Character $FFFFFFEA
Multiplayer_Player2_Character $FFFFFFEB
VInt_Jmp_Code $FFFFFFF0
VInt_Addr $FFFFFFF2
HInt_Jmp_Code $FFFFFFF6
HInt_Addr $FFFFFFF8
Checksum_String $FFFFFFFC
